generation,kcat_index,mu_log10_kcat
41,kcat_13,4.224624587034493
42,kcat_13,4.221053080217346
43,kcat_13,4.205885207798036
44,kcat_13,4.197849538443233
45,kcat_13,4.202175359805431
46,kcat_13,4.21305726771823
47,kcat_13,4.206461296778813
48,kcat_13,4.20337979377979
49,kcat_13,4.203796617375891
0,kcat_14,4.363002843946696
1,kcat_14,4.357092019617091
2,kcat_14,4.349945104924037
3,kcat_14,4.314166492098464
4,kcat_14,4.322718737848532
5,kcat_14,4.316798199207299
6,kcat_14,4.326771462596093
7,kcat_14,4.314726420288936
8,kcat_14,4.313160740215916
9,kcat_14,4.325348634438922
10,kcat_14,4.325564074596069
11,kcat_14,4.320419020216061
12,kcat_14,4.323103893019646
13,kcat_14,4.327815879993952
14,kcat_14,4.346657934365223
15,kcat_14,4.348109389920377
16,kcat_14,4.3501927481290075
17,kcat_14,4.360975706830425
18,kcat_14,4.35121723952466
19,kcat_14,4.353958085070494
20,kcat_14,4.36167767658694
21,kcat_14,4.346494589463014
22,kcat_14,4.356893529251923
23,kcat_14,4.35696925500742
24,kcat_14,4.361538107125393
25,kcat_14,4.361547940830245
26,kcat_14,4.365504645555326
27,kcat_14,4.368462379578214
28,kcat_14,4.372901775755078
29,kcat_14,4.368257910894894
30,kcat_14,4.366124494278332
31,kcat_14,4.3736481222594366
32,kcat_14,4.367784905783414
33,kcat_14,4.371431028859024
34,kcat_14,4.379191240563835
35,kcat_14,4.388123683832007
36,kcat_14,4.390443022934954
37,kcat_14,4.390755841828667
38,kcat_14,4.3940532563127155
39,kcat_14,4.398338965188014
40,kcat_14,4.3953434830391895
41,kcat_14,4.394663262294815
42,kcat_14,4.3933458280140965
43,kcat_14,4.401726059291722
44,kcat_14,4.393847493798372
45,kcat_14,4.397641187188901
46,kcat_14,4.398529132152782
47,kcat_14,4.400735602986299
48,kcat_14,4.396875163724476
49,kcat_14,4.3961850126226
0,kcat_15,5.136372551906969
1,kcat_15,5.135439142935921
2,kcat_15,5.122243753400476
3,kcat_15,5.139978317830183
4,kcat_15,5.149118098885836
5,kcat_15,5.135221661328104
6,kcat_15,5.127130380117295
7,kcat_15,5.111398477172628
8,kcat_15,5.102749593174727
9,kcat_15,5.102572655342002
10,kcat_15,5.099807335019006
11,kcat_15,5.10839661140559
12,kcat_15,5.105258812657357
13,kcat_15,5.09425991067497
14,kcat_15,5.088617570196781
15,kcat_15,5.090017103335788
16,kcat_15,5.088766693763553
17,kcat_15,5.093015850111353
18,kcat_15,5.085773257592624
19,kcat_15,5.090996027718144
20,kcat_15,5.090616496101052
21,kcat_15,5.10640278266931
22,kcat_15,5.105296568825628
23,kcat_15,5.1090170524548455
24,kcat_15,5.110973200708889
25,kcat_15,5.110751972127806
26,kcat_15,5.111398923983428
27,kcat_15,5.106783596905939
28,kcat_15,5.110689496357411
29,kcat_15,5.105835186278081
30,kcat_15,5.115856568179455
31,kcat_15,5.108618362000355
32,kcat_15,5.110041793292953
33,kcat_15,5.1172582769531045
34,kcat_15,5.1070875933636355
35,kcat_15,5.106214973792288
36,kcat_15,5.110933632172457
37,kcat_15,5.114688147294153
38,kcat_15,5.103487660976615
39,kcat_15,5.10485371681542
40,kcat_15,5.112323657016345
41,kcat_15,5.112991651619927
42,kcat_15,5.114920876811162
43,kcat_15,5.116423461059597
44,kcat_15,5.120375012484131
45,kcat_15,5.112182668850197
46,kcat_15,5.108680942946548
47,kcat_15,5.116318033740955
48,kcat_15,5.11792074301217
49,kcat_15,5.11666871247284
0,kcat_16,4.796941296964652
1,kcat_16,4.820314081795276
2,kcat_16,4.840407158889571
3,kcat_16,4.8427016178279745
4,kcat_16,4.820508632220834
5,kcat_16,4.792214972702602
6,kcat_16,4.781979316792984
7,kcat_16,4.774095775591956
8,kcat_16,4.764055475437681
9,kcat_16,4.752152340376471
10,kcat_16,4.7643064438440295
11,kcat_16,4.77270101969422
12,kcat_16,4.7659960534930805
13,kcat_16,4.758656863423495
