NAME,ENTRY,Gene_name,Protein_name_x,half_life_x,Protein_name_y,half_life_y,half_life_all_x,half_life_all_y,kdeg
YEL063C,P04817,YEL063C,,,P04817,1.354026,1.354026,1.354026,0.51191571
YEL066W,P39979,YEL066W,P39979,1.992826234,P39979,7.846159,1.992826234,7.846159,0.08834223
YEL071W,P39976,YEL071W,P39976,2.62176948,P39976,15.50419,2.62176948,15.50419,0.044707088
YER003C,P29952,YER003C,P29952,2.736952886,P29952,13.22207,2.736952886,13.22207,0.0524235
YER005W,P40009,YER005W,,,P40009,9.937824,9.937824,9.937824,0.069748386
YER010C,P40011,YER010C,P40011,3.999591693,P40011,10.05615,3.999591693,10.05615,0.068927689
YER014W,P40012,YER014W,P40012,2.430506571,P40012,8.326393,2.430506571,8.326393,0.083246993
YER019W,P40015,YER019W,,,P40015,13.98448,13.98448,13.98448,0.04956546
YER023W,P32263,YER023W,P32263,2.656773241,P32263,9.996749,2.656773241,9.996749,0.06933726
YER042W,P40029,YER042W,P40029,1.607495535,P40029,10.22584,1.607495535,10.22584,0.067783887
YER043C,P39954,YER043C,P39954,1.558705019,P39954,8.078671,1.558705019,8.078671,0.085799654
YER052C,P10869,YER052C,P10869,1.844056358,P10869,16.27547,1.844056358,16.27547,0.042588459
YER053C,P40035,YER053C,P40035,3.703829173,P40035,10.39737,3.703829173,10.39737,0.066665626
YER055C,P00498,YER055C,P00498,2.353118442,P00498,17.05504,2.353118442,17.05504,0.04064178
YER056C,P17064,YER056C,,,P17064,0.8889043,0.8889043,0.8889043,0.779777059
YER061C,P39525,YER061C,,,P39525,6.989233,6.989233,6.989233,0.099173569
YER062C,P40106,YER062C,P40106,2.936898872,P40106,11.85628,2.936898872,11.85628,0.05846245
YER065C,P28240,YER065C,,,P28240,1.034587,1.034587,1.034587,0.669974763
YER069W,Q01217,YER069W,Q01217,2.872514045,Q01217,44.33238,2.872514045,44.33238,0.015635235
YER070W,P21524,YER070W,,,P21524,3.914413,3.914413,3.914413,0.177075638
YER073W,P40047,YER073W,P40047,1.457289884,P40047,12.32655,1.457289884,12.32655,0.05623205
YER081W,P40054,YER081W,P40054,9.121608255,P40054,16.76462,9.121608255,16.76462,0.041345833
YER086W,P00927,YER086W,P00927,1.862808996,P00927,8.18348,1.862808996,8.18348,0.084700785
YER087W,P39965,YER087W,,,P39965,6.07899,6.07899,6.07899,0.114023412
